percentuale_uso_heatmap,veicoli,granularità,tempo_medio_parcheggio_B_heatmap,tempo_medio_ricerca_posteggio_heatmap,distanza_parcheggio_punto_B_heatmap,tempo_medio_parcheggio_B,tempo_medio_ricerca_posteggio,distanza_parcheggio_punto_B
0.00%,300,10.0,,,,131.36,61.42,118.35
0.00%,300,10.0,,,,131.89,57.09,113.03
0.00%,300,10.0,,,,130.88,55.94,107.48
0.00%,300,10.0,,,,130.66,60.13,118.89
0.00%,300,10.0,,,,130.61,56.36,117.76
0.00%,300,10.0,,,,130.22,52.11,120.35
0.00%,300,10.0,,,,130.88,60.27,126.1
0.00%,300,10.0,,,,131.2,56.86,112.83
0.00%,300,10.0,,,,130.41,51.55,119.18
0.00%,300,10.0,,,,131.2,58.83,118.23
25.33%,300,10.0,144.64,10.67,218.0,125.14,57.55,119.57
30.67%,300,10.0,119.13,8.87,282.2,133.85,53.93,115.79
28.67%,300,10.0,157.16,7.31,279.06,129.59,58.45,113.7
24.33%,300,10.0,119.61,9.45,154.82,130.41,61.47,119.37
22.67%,300,10.0,122.3,9.28,180.26,135.0,61.04,113.68
23.33%,300,10.0,115.97,10.77,199.87,136.35,52.46,111.95
26.00%,300,10.0,135.99,10.26,226.04,125.36,56.52,106.45
26.00%,300,10.0,127.9,12.92,202.99,127.26,57.04,116.57
23.00%,300,10.0,134.58,6.97,304.83,124.69,54.29,110.53
24.67%,300,10.0,119.49,10.43,175.25,129.83,57.13,120.22
51.33%,300,10.0,165.45,4.4,328.6,132.22,56.39,116.43
54.67%,300,10.0,118.56,8.2,148.68,131.35,57.61,125.69
44.67%,300,10.0,127.83,9.04,168.06,122.68,58.77,108.83
50.00%,300,10.0,138.52,9.41,290.03,134.86,48.78,108.51
49.00%,300,10.0,136.92,5.55,249.12,130.97,56.88,123.59
52.33%,300,10.0,124.43,8.81,202.65,137.15,58.74,116.82
54.33%,300,10.0,117.86,7.84,173.64,142.96,55.17,114.39
54.33%,300,10.0,123.03,6.6,184.95,117.96,50.42,119.21
50.33%,300,10.0,119.28,9.34,193.01,112.1,61.56,116.37
50.00%,300,10.0,160.78,5.71,334.24,130.58,56.87,113.32
74.00%,300,10.0,123.05,9.25,179.4,113.91,69.75,137.37
76.33%,300,10.0,122.97,9.02,184.27,126.58,64.85,116.39
76.33%,300,10.0,115.33,9.41,192.12,142.55,48.07,100.35
77.00%,300,10.0,124.42,6.98,157.39,137.92,57.93,107.31
78.67%,300,10.0,121.31,8.22,151.32,136.92,47.17,116.94
77.67%,300,10.0,126.0,8.5,167.22,130.0,38.78,99.04
74.67%,300,10.0,123.35,7.61,167.79,138.82,56.79,108.93
74.00%,300,10.0,117.25,6.53,145.29,130.8,68.43,144.48
71.67%,300,10.0,129.48,7.23,181.55,130.95,60.57,107.94
74.67%,300,10.0,145.12,8.75,215.08,120.17,58.01,107.37
100.00%,300,10.0,120.38,7.13,148.88,,,
100.00%,300,10.0,120.77,8.15,166.4,,,
100.00%,300,10.0,122.9,9.1,148.43,,,
100.00%,300,10.0,126.94,8.4,143.74,,,
100.00%,300,10.0,123.91,8.66,163.22,,,
100.00%,300,10.0,124.47,9.29,155.35,,,
100.00%,300,10.0,122.71,7.3,176.41,,,
100.00%,300,10.0,124.29,8.42,165.67,,,
100.00%,300,10.0,120.0,8.3,192.65,,,
100.00%,300,10.0,124.61,8.2,182.85,,,
