VehicleID,EdgeIDp,EdgeID,X,Y
vehicle_0,E63,-E68,328.1432661632327,-313.83380834989777
vehicle_1,E42,-E55,-276.6431548568517,-319.26396494861183
vehicle_2,-E55,-E65,271.79388701953206,14.45312530287299
vehicle_3,-E78,-E21,-394.0222019598385,-113.26520538441196
vehicle_4,E57,-E47,413.72289482424486,-243.91979154451997
vehicle_5,-E53,-E64,112.73926246127047,-171.5500235791034
vehicle_6,-E31,E34,42.69931298761304,-162.05532928793642
vehicle_7,E73,E21,-343.31247031122166,-158.54225860986028
vehicle_8,-E66,E62,229.44938434487,-144.73797820469244
vehicle_9,E33,-E55,-207.47053618454214,-211.7914816882034
vehicle_10,-E54,-E76,205.22392234467924,-45.122250337366836
vehicle_11,-E54,-E55,214.47178354407828,-22.27483596839153
vehicle_12,-E45,-E55,-97.6447444596389,-370.73740052211485
vehicle_13,-E14,-E55,238.47487670844583,63.91398750617725
vehicle_14,E42,-E55,-325.60903954454193,-276.4837739969935
vehicle_15,-E15,-E34,245.8098483347149,53.968172447461086
vehicle_16,E43,-E9,-218.2034825731779,-367.26219637666946
vehicle_17,E44,E42,-149.56336988110985,-338.34841783852227
vehicle_18,-E84,-E65,-352.2434111024171,33.32190523623393
vehicle_19,-E63,E44,382.2697720346302,-279.2450784923937
vehicle_20,E32,-E55,-142.58361883314757,-155.480614948811
vehicle_21,-E72,-E73,-279.26961853284183,-86.18571558785368
vehicle_22,-E54,E59,71.04198926699229,-99.88927200833143
vehicle_23,-E55,-E65,374.32414024073427,26.476423241003204
vehicle_24,E60,E53,154.53144900890157,-358.65772499082135
vehicle_25,-E54,-E80,103.35492037865248,-103.35623635155292
vehicle_26,-E32,-E43,-148.72743565474798,-182.7891931327951
vehicle_27,-E39,-E55,-99.50828639240262,-220.97214883887304
vehicle_28,-E68,E68,117.41671859326328,-294.90161373303204
vehicle_29,-E55,E44,325.9487512407001,-27.985584209130195
vehicle_30,E82,E42,-441.78883816077536,-2.872317832776389
vehicle_31,E33,E79,-218.93216954019812,-201.4691404303486
vehicle_32,-E56,-E55,429.15784652656356,-108.24259614178527
vehicle_33,-E7,-E33,134.89772022620815,-20.726921436937005
vehicle_34,E64,-E74,321.67260801151093,-238.777044737749
vehicle_35,-E74,E74,-417.276859701593,-301.8740185058684
vehicle_36,-E74,-E74,-488.98743452041606,-304.5124718842116
vehicle_37,-E65,-E55,372.34879335062675,-185.18189321306377
vehicle_38,E9,E54,1.3185468446496884,-28.634380261017327
vehicle_39,E79,-E14,-441.62465870807506,-46.37174102093411
vehicle_40,-E7,E52,169.00962447618116,2.840666222271693
vehicle_41,E52,-E71,42.23388739620992,-289.87976378557175
vehicle_42,-E84,E82,-308.37368279482473,-3.9051703768027437
vehicle_43,-E55,-E54,385.188843809072,-14.254541261489805
vehicle_44,-E16,E44,97.15661975759753,50.86824539509831
vehicle_45,E67,E42,172.6427123971294,-201.8772558724902
vehicle_46,E70,E5,85.24845593573781,-341.08297166154085
vehicle_47,E60,-E40,238.78441994915096,-332.41544614757856
vehicle_48,-E74,E62,-420.59748369685326,-251.28097804371885
vehicle_49,-E54,-E52,141.0798212882127,-100.39410264396548
vehicle_50,-E84,-E67,-334.9662868041946,68.62789946523321
vehicle_51,-E7,-E72,187.79055914013867,-37.09677670057158
vehicle_52,-E56,-E54,423.682197406631,59.487850173140544
vehicle_53,E42,E4,-323.86423563761116,-307.14920124003913
vehicle_54,-E52,-E43,59.90657327843297,-185.2621159864759
vehicle_55,E56,-E36,407.3544619124065,-169.60952485189807
vehicle_56,-E32,-E39,-156.15004793170124,-194.34590478466785
vehicle_57,-E74,-E7,-404.6333224664814,-238.52335206404575
vehicle_58,E82,-E47,-413.26123833681925,-6.7044505897514455
vehicle_59,-E14,-E56,253.1918262655741,79.92103082233774
vehicle_60,-E67,-E65,148.2015172585089,-216.39394637681121
vehicle_61,-E52,-E55,38.65594093282658,-211.9069689845043
vehicle_62,-E44,-E45,-140.7418894374232,-323.4857660323516
vehicle_63,-E81,-E54,-405.8667262769592,-39.227149483620394
vehicle_64,-E74,E82,-494.2528143115223,-230.41490427263452
vehicle_65,-E54,-E45,146.27121680786234,-101.59717401983158
vehicle_66,E60,E51,237.35912413227112,-335.4788956916186
vehicle_67,E76,E79,-396.3436390409144,-126.22697995229146
vehicle_68,E54,E41,206.49029091057895,-105.4968919071573
vehicle_69,-E71,-E15,-276.3550301300362,-29.22905110010197
vehicle_70,E68,E63,246.40996980751453,-302.3700063320689
vehicle_71,E54,-E11,244.70704924614625,-112.07001574126457
vehicle_72,-E54,E39,146.2293420312447,-90.15279312483528
vehicle_73,E36,-E15,-223.79349303406565,-291.396214662812
vehicle_74,E40,E32,-144.35928128928668,-112.02169880777501
vehicle_75,-E47,E57,-9.998666098711965,-327.7953126776349
vehicle_76,E58,E51,434.812478282928,-362.56260672065474
vehicle_77,-E41,E81,-159.03888811221566,-120.13646598928918
vehicle_78,-E47,E52,-12.847505267660267,-326.70829697604773
vehicle_79,E76,-E71,-419.6241187266976,-132.55358061601586
vehicle_80,E79,-E63,-448.7945892949296,-59.098521100446874
vehicle_81,E51,E60,8.989353385045831,-224.24193116629348
vehicle_82,-E43,E54,-448.20804007822363,-357.15171660391525
vehicle_83,-E44,E52,-193.7230114117254,-359.7701448074578
vehicle_84,E59,-E55,336.66183487386076,-360.3799282575301
vehicle_85,-E68,-E36,214.7815803883114,-251.69661695264017
vehicle_86,-E72,-E29,-266.4038095174087,-82.18797644535078
vehicle_87,-E15,-E45,268.8777095940058,52.03384648539952
vehicle_88,E39,E72,-152.0829290262751,-227.05222417380043
vehicle_89,E43,E59,-220.65763027560502,-327.0087815750975
vehicle_90,-E82,E68,-435.65402703247673,-17.493897142296362
vehicle_91,E29,E5,-74.30213702604271,-85.26329821964487
vehicle_92,E40,E59,-151.52634438659715,-123.38794162210564
vehicle_93,-E40,-E47,-123.22034597828417,-104.79569932779458
vehicle_94,-E43,-E74,-300.0795585849392,-368.94371175362227
vehicle_95,-E28,E52,0.10165084466302687,-68.04200346652772
vehicle_96,E30,-E74,-27.296588737065804,-156.8616408427453
vehicle_97,-E72,-E52,-260.07587175299597,-154.3220454546761
vehicle_98,-E82,-E16,-435.5783648143021,-22.49290140720734
vehicle_99,-E68,E53,231.4312803895662,-275.7839241127237
